point_0_x,point_0_y,point_0_z,point_1_x,point_1_y,point_1_z,point_2_x,point_2_y,point_2_z,point_3_x,point_3_y,point_3_z,point_4_x,point_4_y,point_4_z,point_5_x,point_5_y,point_5_z,point_6_x,point_6_y,point_6_z,point_7_x,point_7_y,point_7_z,point_8_x,point_8_y,point_8_z,point_9_x,point_9_y,point_9_z,point_10_x,point_10_y,point_10_z,point_11_x,point_11_y,point_11_z,point_12_x,point_12_y,point_12_z,point_13_x,point_13_y,point_13_z,point_14_x,point_14_y,point_14_z,point_15_x,point_15_y,point_15_z,point_16_x,point_16_y,point_16_z,point_17_x,point_17_y,point_17_z,point_18_x,point_18_y,point_18_z,point_19_x,point_19_y,point_19_z,point_20_x,point_20_y,point_20_z
0.758306086063385,1.0070457458496094,6.198327469064679e-07,0.6910260915756226,0.9676156640052795,-0.0346016101539135,0.6417338848114014,0.847100019454956,-0.05021292716264725,0.662868857383728,0.7221395969390869,-0.06722737848758698,0.698344886302948,0.639057457447052,-0.08175446093082428,0.6246315240859985,0.640357494354248,-0.02215469256043434,0.5883789658546448,0.48060643672943115,-0.05084623023867607,0.5684677958488464,0.38214847445487976,-0.06714078783988953,0.5515673756599426,0.29676714539527893,-0.0755757987499237,0.6762667298316956,0.6135396957397461,-0.029276276007294655,0.6315408945083618,0.43356853723526,-0.06368567794561386,0.6024271845817566,0.32472026348114014,-0.08269388228654861,0.5813764333724976,0.23355351388454437,-0.08750700205564499,0.7346463203430176,0.62663733959198,-0.04138911888003349,0.7163125872612,0.5824304223060608,-0.09448005259037018,0.7155160307884216,0.7164828777313232,-0.09867246448993683,0.716141939163208,0.8032379746437073,-0.08208072185516357,0.7913127541542053,0.667798638343811,-0.05601176247000694,0.7715572714805603,0.6238960027694702,-0.09106668084859848,0.7612331509590149,0.7286490201950073,-0.082481749355793,0.758125901222229,0.8031865954399109,-0.06487870216369629
0.7595881819725037,1.0065110921859741,6.256661322368018e-07,0.6895170211791992,0.9640334844589233,-0.035750940442085266,0.6428293585777283,0.8500203490257263,-0.05346696078777313,0.6635768413543701,0.7272322773933411,-0.07271355390548706,0.6990126967430115,0.6435470581054688,-0.08919064700603485,0.621405839920044,0.6444786190986633,-0.02208935096859932,0.584436297416687,0.48851874470710754,-0.05253191292285919,0.5642916560173035,0.3927176594734192,-0.07012088596820831,0.5476672053337097,0.30867040157318115,-0.07928301393985748,0.6727837324142456,0.6141533255577087,-0.029380593448877335,0.6263552904129028,0.4391991198062897,-0.06481966376304626,0.5973751544952393,0.33112385869026184,-0.08469828963279724,0.5768629312515259,0.24018114805221558,-0.09034398198127747,0.7312412261962891,0.6262915134429932,-0.04198603704571724,0.71575528383255,0.5821258425712585,-0.09556913375854492,0.7166762351989746,0.7105812430381775,-0.10107721388339996,0.7177460193634033,0.7972702980041504,-0.0857512578368187,0.7888228297233582,0.6676559448242188,-0.0572502464056015,0.772912323474884,0.6305510401725769,-0.092505544424057,0.7628909349441528,0.7317031621932983,-0.0852709412574768,0.7583653330802917,0.805885374546051,-0.06883911788463593
0.7625398635864258,1.0097813606262207,6.70987787998456e-07,0.6910354495048523,0.9730051755905151,-0.03703053668141365,0.6423812508583069,0.8596780300140381,-0.055086296051740646,0.661345362663269,0.7323039770126343,-0.07411796599626541,0.6916496753692627,0.6450660824775696,-0.09009278565645218,0.6192440986633301,0.6525710225105286,-0.024792898446321487,0.5796027183532715,0.49141478538513184,-0.056437838822603226,0.558547854423523,0.39295494556427,-0.07443562895059586,0.54176265001297,0.30691319704055786,-0.08344855159521103,0.6705562472343445,0.6204798817634583,-0.031323838979005814,0.6215426921844482,0.4424446225166321,-0.06829654425382614,0.5910852551460266,0.3328809440135956,-0.0885385051369667,0.5699780583381653,0.2405553162097931,-0.09368598461151123,0.7299617528915405,0.6301187872886658,-0.04306242987513542,0.7115894556045532,0.5934767723083496,-0.09729056805372238,0.7126821875572205,0.7269744277000427,-0.10141518712043762,0.7146766185760498,0.8126062750816345,-0.08458360284566879,0.7889873385429382,0.6690747737884521,-0.05760347843170166,0.7702360153198242,0.639403760433197,-0.09287776052951813,0.7602513432502747,0.7444256544113159,-0.08437211066484451,0.7564052939414978,0.8149402141571045,-0.06660190969705582
0.7620357871055603,1.0089869499206543,6.82454754041828e-07,0.6920753121376038,0.9753727316856384,-0.03829007223248482,0.6416445374488831,0.8651333451271057,-0.05852336809039116,0.6604617238044739,0.7376625537872314,-0.07968494296073914,0.6939917206764221,0.6492205262184143,-0.09796778112649918,0.618605375289917,0.656505286693573,-0.028048621490597725,0.5783901214599609,0.49757227301597595,-0.06090033799409866,0.5563226342201233,0.4011296331882477,-0.07986785471439362,0.5382502675056458,0.316261887550354,-0.08978869020938873,0.670382022857666,0.6273145079612732,-0.03528423234820366,0.619720995426178,0.4457029104232788,-0.07345005124807358,0.5872485041618347,0.3376128077507019,-0.09405270218849182,0.5635209083557129,0.24394048750400543,-0.09972716867923737,0.7307909727096558,0.6389424204826355,-0.04768775776028633,0.7096940875053406,0.5942763090133667,-0.10418901592493057,0.7102818489074707,0.7285404801368713,-0.10795605927705765,0.7132055759429932,0.8136668801307678,-0.09048812091350555,0.7901065349578857,0.6804670691490173,-0.06284799426794052,0.7671417593955994,0.6408394575119019,-0.0997684970498085,0.7572289705276489,0.7454808950424194,-0.09036818891763687,0.7552608847618103,0.8173235058784485,-0.07183995097875595
0.7680966854095459,1.011177897453308,6.883665264467709e-07,0.6940286159515381,0.9770523905754089,-0.03668742626905441,0.6447759866714478,0.8664230108261108,-0.056936655193567276,0.662692129611969,0.7395486831665039,-0.07862477004528046,0.6949831247329712,0.6531438827514648,-0.09756491333246231,0.6201518774032593,0.6611645817756653,-0.026038462296128273,0.5782531499862671,0.50257807970047,-0.05957598611712456,0.5544138550758362,0.4061254560947418,-0.07931279391050339,0.5348411798477173,0.32099634408950806,-0.08966580778360367,0.6717563271522522,0.6274770498275757,-0.034370195120573044,0.6199106574058533,0.4493860602378845,-0.0734710693359375,0.585533618927002,0.3404077887535095,-0.09589537978172302,0.5599135756492615,0.24550104141235352,-0.10267414152622223,0.7324802279472351,0.6347465515136719,-0.04757317900657654,0.7106698751449585,0.5962526798248291,-0.10316219180822372,0.7122496366500854,0.7298988103866577,-0.106696218252182,0.7162268757820129,0.8161554932594299,-0.08931590616703033,0.7925488948822021,0.6722646355628967,-0.06359405070543289,0.7673190236091614,0.643888533115387,-0.099042609333992,0.7596650719642639,0.7497847080230713,-0.08865287154912949,0.7605634331703186,0.8220478296279907,-0.06941734999418259
0.7724784016609192,1.0112158060073853,7.162922770476143e-07,0.6981395483016968,0.9793367385864258,-0.03807903826236725,0.6475066542625427,0.8715618848800659,-0.05906661972403526,0.6633226871490479,0.7424348592758179,-0.08120300620794296,0.6945673227310181,0.6517590284347534,-0.1003587394952774,0.621656596660614,0.6601596474647522,-0.02764924243092537,0.5766547322273254,0.49556097388267517,-0.06020562723278999,0.5525861978530884,0.3949536979198456,-0.07922206073999405,0.532757043838501,0.3073662519454956,-0.08905840665102005,0.6741723418235779,0.6301003694534302,-0.03518321365118027,0.6205724477767944,0.4502485394477844,-0.07318244129419327,0.5860276818275452,0.338725209236145,-0.0945817232131958,0.5600836873054504,0.2445364147424698,-0.10093126446008682,0.7351987361907959,0.6392294764518738,-0.04772571474313736,0.7120298147201538,0.5950294137001038,-0.10366702079772949,0.7137879729270935,0.7282626628875732,-0.10747989267110825,0.7169686555862427,0.8176048398017883,-0.09011656790971756,0.7955149412155151,0.6780458092689514,-0.06303467601537704,0.7693853974342346,0.6367729306221008,-0.09966720640659332,0.7614302635192871,0.7433173060417175,-0.08950535953044891,0.7605925798416138,0.8222059607505798,-0.07016168534755707
0.7717340588569641,1.0121405124664307,7.434395001837402e-07,0.6997780203819275,0.981693685054779,-0.03906151279807091,0.6494215130805969,0.8754094243049622,-0.06189584732055664,0.6614832878112793,0.7485105991363525,-0.0856226310133934,0.68631511926651,0.6527125239372253,-0.10606827586889267,0.6214247345924377,0.663991391658783,-0.030562885105609894,0.5754052400588989,0.4981335699558258,-0.0652746632695198,0.5510085225105286,0.3985268473625183,-0.08518120646476746,0.5313575267791748,0.31027206778526306,-0.09530004858970642,0.674393355846405,0.6307104229927063,-0.03803489729762077,0.6206992268562317,0.4504162073135376,-0.07833807915449142,0.5856091380119324,0.34072017669677734,-0.10115663707256317,0.5590932965278625,0.24404717981815338,-0.10806699842214584,0.7361977696418762,0.6356725692749023,-0.050333421677351,0.7144791483879089,0.6007825136184692,-0.10636583715677261,0.7147436738014221,0.7380512356758118,-0.10882439464330673,0.7171003222465515,0.8263731002807617,-0.09072943031787872,0.7975372672080994,0.6701160073280334,-0.06565143167972565,0.7729871273040771,0.6438039541244507,-0.10152829438447952,0.7647847533226013,0.7521530985832214,-0.09038913249969482,0.7638809084892273,0.8267531394958496,-0.07038864493370056
0.7768197655677795,1.0168367624282837,7.480846306862077e-07,0.701575517654419,0.9858944416046143,-0.038471002131700516,0.6492578387260437,0.8769950270652771,-0.0596901960670948,0.6670420169830322,0.7503103613853455,-0.08231405913829803,0.7000637650489807,0.6605726480484009,-0.10192311555147171,0.6231874227523804,0.6656696200370789,-0.027644848451018333,0.57527756690979,0.4986761510372162,-0.06096798926591873,0.5499824285507202,0.39597955346107483,-0.0803365707397461,0.5286874771118164,0.3065858781337738,-0.09025677293539047,0.6760372519493103,0.6319792866706848,-0.035126134753227234,0.6199694871902466,0.4526854157447815,-0.0735105574131012,0.5841951966285706,0.3377298414707184,-0.09571361541748047,0.5571140050888062,0.2411046326160431,-0.10243086516857147,0.737878680229187,0.6368929743766785,-0.04768119379878044,0.7175935506820679,0.5994361042976379,-0.10315634310245514,0.7201401591300964,0.7324553728103638,-0.10745067149400711,0.7227996587753296,0.8271598815917969,-0.09026975184679031,0.799845814704895,0.6713030934333801,-0.06326951831579208,0.7783896923065186,0.6401093602180481,-0.09970284253358841,0.7714381217956543,0.7460301518440247,-0.0900261402130127,0.7693962454795837,0.8286285400390625,-0.07074463367462158
0.7818053364753723,1.0204429626464844,7.339118042182236e-07,0.705396831035614,0.9887579083442688,-0.03873734548687935,0.6539897918701172,0.8836818337440491,-0.060670286417007446,0.6664116382598877,0.7536585330963135,-0.08384818583726883,0.6904681324958801,0.6548354029655457,-0.10340823978185654,0.6236896514892578,0.6659201383590698,-0.02632943168282509,0.5745784044265747,0.5000521540641785,-0.05949870124459267,0.5489156246185303,0.39795374870300293,-0.07899051904678345,0.5279131531715393,0.30813801288604736,-0.08896026015281677,0.6767048835754395,0.6308668851852417,-0.03407737612724304,0.6176497340202332,0.45511218905448914,-0.07251289486885071,0.5812749862670898,0.33938848972320557,-0.09539007395505905,0.5538811683654785,0.2402382791042328,-0.10279322415590286,0.739167332649231,0.6356902718544006,-0.04698621481657028,0.7178794741630554,0.602110743522644,-0.10312660783529282,0.7212170958518982,0.7355443835258484,-0.10754949599504471,0.7236689925193787,0.8300020694732666,-0.09056416153907776,0.8018910884857178,0.6717237830162048,-0.06284116208553314,0.780101478099823,0.6384482383728027,-0.0999450758099556,0.7729542851448059,0.7459160685539246,-0.08994748443365097,0.769660234451294,0.8309842944145203,-0.07035330682992935
0.7900734543800354,1.0152125358581543,7.477274834855052e-07,0.7118173837661743,0.9897435903549194,-0.04027893766760826,0.6557218432426453,0.8870642185211182,-0.0627342239022255,0.6718747019767761,0.7555304169654846,-0.08616525679826736,0.7051985859870911,0.6612691283226013,-0.10603312402963638,0.6236503720283508,0.6671579480171204,-0.02890619821846485,0.5727136731147766,0.500648558139801,-0.06270186603069305,0.5463622808456421,0.39868757128715515,-0.08202692866325378,0.5245718955993652,0.30990472435951233,-0.09194935113191605,0.6771272420883179,0.6293033957481384,-0.036288872361183167,0.616276741027832,0.45229801535606384,-0.07448042929172516,0.5792424082756042,0.34123751521110535,-0.09575074166059494,0.5506839156150818,0.24518141150474548,-0.10191719979047775,0.7405496835708618,0.6327236890792847,-0.04917570948600769,0.7206223011016846,0.6014602184295654,-0.10444062948226929,0.7260098457336426,0.7350759506225586,-0.10843908041715622,0.7297239303588867,0.8241071105003357,-0.09138073772192001,0.8048452138900757,0.6676751971244812,-0.06540839374065399,0.7841790914535522,0.6406719088554382,-0.1010766252875328,0.7776673436164856,0.7472596168518066,-0.09159407764673233,0.7751962542533875,0.8251082301139832,-0.07296176999807358
